epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,517.601,0.63389,0.45664,0.98485,0.95781,0.98292,0.97895,0.83902,0.53092,0.33324,0.86849,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,527.636,0.63417,0.46763,0.98624,0.955,0.97645,0.98066,0.83366,0.54288,0.34665,0.88139,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,537.569,0.63033,0.4513,0.97486,0.94051,0.98063,0.98333,0.82821,0.55448,0.34488,0.87417,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,547.53,0.62785,0.45436,0.97915,0.95855,0.97699,0.98502,0.8383,0.53784,0.3259,0.86529,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,557.446,0.64522,0.46211,0.99096,0.95437,0.98096,0.98356,0.83569,0.55189,0.33582,0.87261,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,567.63,0.62533,0.45106,0.97545,0.95341,0.97365,0.983,0.83655,0.5362,0.33709,0.87073,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,577.597,0.62795,0.44934,0.9784,0.95787,0.97139,0.98555,0.83379,0.54622,0.34943,0.87886,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,587.467,0.62798,0.44375,0.97656,0.96232,0.97685,0.98599,0.84101,0.53243,0.32296,0.85934,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,597.428,0.62737,0.45005,0.97546,0.96503,0.97325,0.9864,0.843,0.53376,0.31912,0.86541,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,607.487,0.62734,0.44168,0.97504,0.96342,0.9759,0.98546,0.84141,0.53793,0.31694,0.86471,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,617.546,0.61862,0.43216,0.96816,0.96017,0.98405,0.9867,0.84069,0.53487,0.31027,0.86258,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,627.449,0.61334,0.4376,0.96582,0.95612,0.98555,0.98569,0.8459,0.53425,0.32177,0.86427,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,637.339,0.61535,0.4328,0.97189,0.95636,0.98553,0.98403,0.84024,0.54071,0.32171,0.85869,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,647.327,0.60941,0.43229,0.97028,0.96043,0.98331,0.98562,0.84959,0.51941,0.31699,0.85746,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,657.297,0.60629,0.42706,0.97401,0.96513,0.97879,0.98701,0.8457,0.52492,0.30286,0.85961,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,667.401,0.61729,0.43547,0.97092,0.96314,0.98131,0.98439,0.83875,0.53161,0.30507,0.86584,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,677.329,0.60363,0.4264,0.96573,0.96066,0.98008,0.9863,0.84588,0.52786,0.30491,0.85827,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,687.229,0.60855,0.42326,0.96815,0.96132,0.97356,0.98544,0.84861,0.51871,0.3023,0.85027,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,697.18,0.61446,0.42254,0.97355,0.96437,0.97934,0.98717,0.85407,0.50754,0.29164,0.8508,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,707.142,0.59815,0.41636,0.95877,0.96329,0.97763,0.98725,0.85386,0.51035,0.30059,0.85322,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,717.217,0.59631,0.41279,0.96383,0.9615,0.97757,0.98596,0.85061,0.52236,0.29856,0.86207,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,727.211,0.58766,0.41172,0.95731,0.96031,0.97566,0.98544,0.85078,0.5053,0.2924,0.85169,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,737.211,0.58402,0.40823,0.96153,0.96534,0.98214,0.98786,0.85523,0.5049,0.29475,0.84841,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,747.139,0.58947,0.4055,0.96519,0.96228,0.98069,0.9885,0.85485,0.50664,0.29309,0.85264,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,757.199,0.59541,0.4139,0.96282,0.96293,0.9771,0.98675,0.85738,0.51889,0.29092,0.8537,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,767.287,0.58231,0.39861,0.96422,0.9629,0.97909,0.98733,0.85776,0.51245,0.29515,0.85529,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,777.293,0.58372,0.40745,0.96314,0.96411,0.97873,0.98715,0.85417,0.50528,0.29631,0.84992,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,787.255,0.5893,0.40843,0.9622,0.96027,0.98184,0.98655,0.85399,0.50355,0.29011,0.84859,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,797.243,0.58048,0.39684,0.95672,0.95749,0.98427,0.9861,0.85895,0.49738,0.28238,0.84792,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,807.286,0.58126,0.40503,0.95536,0.96077,0.97973,0.98685,0.85287,0.50416,0.28528,0.8511,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,817.337,0.57765,0.39706,0.95277,0.96475,0.97307,0.9872,0.84846,0.50585,0.28337,0.85512,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,827.271,0.57118,0.39247,0.95002,0.96341,0.98339,0.98717,0.85864,0.50804,0.28174,0.85108,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,837.177,0.58421,0.39841,0.95738,0.96714,0.97939,0.98667,0.85525,0.51515,0.28509,0.85614,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,847.168,0.56949,0.39494,0.95102,0.96587,0.97841,0.98736,0.85893,0.50839,0.27708,0.85112,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,857.06,0.5739,0.391,0.94973,0.96941,0.97821,0.9877,0.86132,0.5024,0.27495,0.84438,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,867.161,0.57992,0.39175,0.94971,0.96429,0.97665,0.98766,0.85966,0.50159,0.28169,0.8437,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,877.132,0.56898,0.38861,0.94992,0.96249,0.98015,0.98691,0.85941,0.5076,0.27379,0.84323,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,887.107,0.57009,0.39364,0.95208,0.9561,0.98693,0.98764,0.85663,0.51237,0.27478,0.84744,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,897.07,0.57019,0.39366,0.95644,0.95867,0.98586,0.98729,0.86001,0.51033,0.27636,0.84415,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,907.085,0.56729,0.39046,0.9527,0.95986,0.97955,0.98875,0.86457,0.50995,0.27155,0.84271,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,917.137,0.56091,0.38411,0.95094,0.96242,0.97894,0.98854,0.86449,0.50168,0.27044,0.84284,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,927.044,0.56546,0.37849,0.94506,0.9639,0.97771,0.98761,0.86666,0.49964,0.27337,0.842,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,937.065,0.56524,0.38105,0.94954,0.95714,0.98192,0.98737,0.86467,0.49617,0.27305,0.84101,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,947.052,0.56255,0.38076,0.95085,0.96135,0.97367,0.98759,0.86109,0.49784,0.27505,0.84122,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,957.049,0.55376,0.37425,0.93926,0.95913,0.97944,0.98758,0.86152,0.4973,0.27391,0.84132,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,967.012,0.56074,0.37909,0.94256,0.96013,0.97958,0.98676,0.86286,0.50087,0.27005,0.8424,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,976.98,0.55587,0.37187,0.94172,0.96067,0.98369,0.98797,0.86278,0.50535,0.27299,0.84178,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,986.944,0.55196,0.36942,0.94231,0.95873,0.9803,0.98825,0.86331,0.5022,0.27266,0.84136,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,996.943,0.55276,0.36628,0.94076,0.9581,0.98297,0.98781,0.8628,0.50434,0.27487,0.84196,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,1007.07,0.54722,0.36725,0.93744,0.95903,0.98204,0.98786,0.8632,0.50046,0.2691,0.84247,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,1016.95,0.54719,0.36611,0.94152,0.96308,0.9825,0.98803,0.8639,0.49944,0.27094,0.84437,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,1026.97,0.54834,0.3698,0.94154,0.95916,0.98329,0.98703,0.86854,0.49419,0.26906,0.84207,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,1036.97,0.53758,0.35608,0.9297,0.95945,0.98256,0.98552,0.86684,0.49048,0.26862,0.84001,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,1046.96,0.55093,0.35936,0.94481,0.95537,0.98862,0.98751,0.8641,0.49095,0.26743,0.83914,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,1057.05,0.54063,0.35718,0.93513,0.95815,0.98329,0.98775,0.86802,0.48837,0.26714,0.83695,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,1067.07,0.53168,0.35042,0.93298,0.95197,0.98735,0.9876,0.86714,0.48739,0.26324,0.83563,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,1077.03,0.53621,0.36621,0.93512,0.95762,0.98573,0.98647,0.86906,0.48889,0.26187,0.83588,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,1087.01,0.53621,0.36042,0.93065,0.95843,0.98204,0.98651,0.8693,0.488,0.26232,0.83536,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,1097.09,0.53671,0.36075,0.93332,0.95676,0.98333,0.98602,0.87017,0.48943,0.26229,0.83626,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,1107.07,0.52124,0.34426,0.93012,0.95326,0.99022,0.98831,0.86698,0.48944,0.2641,0.83621,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,1117.07,0.53214,0.35388,0.92804,0.95678,0.98267,0.98846,0.86837,0.49223,0.26587,0.83774,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,1127.1,0.52989,0.35486,0.92961,0.95913,0.98188,0.98845,0.86443,0.491,0.26566,0.83763,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,1137.17,0.52479,0.34702,0.92619,0.9598,0.98188,0.98846,0.86992,0.48732,0.25917,0.8354,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,1147.31,0.52199,0.34416,0.92551,0.96029,0.97953,0.98773,0.86977,0.48691,0.25923,0.83533,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,1157.25,0.51905,0.34519,0.92584,0.95983,0.98364,0.98753,0.86966,0.48545,0.26325,0.83356,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,1167.28,0.51789,0.34155,0.92474,0.9597,0.98467,0.9878,0.86759,0.48534,0.26194,0.83296,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,1177.3,0.51993,0.34054,0.93144,0.9595,0.98687,0.98774,0.86553,0.48766,0.26012,0.83351,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,1187.38,0.51215,0.33942,0.91991,0.95894,0.9836,0.98632,0.8705,0.48845,0.26089,0.83347,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,1197.41,0.50954,0.32909,0.91767,0.9608,0.98325,0.98813,0.87047,0.48972,0.26061,0.83437,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,1207.42,0.50584,0.33107,0.91862,0.96093,0.98342,0.9882,0.87157,0.48945,0.26004,0.83424,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,1217.47,0.51035,0.33602,0.9212,0.95921,0.98523,0.98805,0.87529,0.48716,0.25782,0.83243,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
